"pr","title","base","head","head_sha","type","status","review_priority","team_action","scope_note"
"77","[feat] 자료 삭제 저장소 재시도 scheduler 추가","feature/resource-delete-retry-worker","feature/resource-delete-retry-scheduler","bbdbd01","stacked","CLEAN no-checks","after-76","앞 PR #76 이후 리뷰","자료 삭제 retry scheduler"
"78","[feat] 에이전트 실행 결과 후보 저장 연결","feature/agent-dispatch-outbox-scheduler","feature/agent-result-suggestion-recorder","4fb184b","stacked","CLEAN no-checks","after-74","앞 PR #74 이후 리뷰","에이전트 실행 결과 후보 저장 연결"
"79","[feat] 에이전트 모델 호출 로그 저장 연결","feature/agent-result-suggestion-recorder","feature/agent-model-call-log-recorder","6dab1d0","stacked","CLEAN no-checks","after-78","앞 PR #78 이후 리뷰","모델 호출 로그 저장 연결"
"80","[feat] 자료 삭제 dead-letter 조회 기반 추가","feature/resource-delete-retry-scheduler","feature/resource-delete-dead-letter-api","2c5c4fd","stacked","CLEAN no-checks","after-77","앞 PR #77 이후 리뷰","dead-letter 조회 기반"
"81","[test] 자료 삭제 dead-letter 조회 인덱스 보강","feature/resource-delete-dead-letter-api","feature/resource-delete-dead-letter-index","198894c","stacked","CLEAN no-checks","after-80","앞 PR #80 이후 리뷰","dead-letter 조회 인덱스"
"83","[feat] 타이머 작업시간 기본 API 추가","develop","codex/develop-time-log-basic-api","774502c","develop-ready","CI PASS review-required #92-base PASS","after-92","팀 리뷰 후 develop 병합 검토 가능","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"84","[chore] Terraform RDS 백업 및 삭제 보호 설정 추가","develop","chore/terraform-rds-backup","5b0a910","develop-ready","CI PASS review-required #92-base PASS","infra-after-92","인프라 담당자 리뷰 후 병합 검토","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"85","[feat] 프로젝트룸 수정 결제 종료 API 추가","develop","codex/develop-project-room-management-api","c404b02","develop-ready","CI PASS review-required #92-base PASS","after-92","팀 리뷰 후 develop 병합 검토 가능","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"86","[refactor] ProjectMembershipPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-project-membership-docs","7991e9e","stacked-refactor","CLEAN no-checks","after-29","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"87","[refactor] UserPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-user-public-service","b70f444","stacked-refactor","CLEAN no-checks","after-86","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"88","[refactor] TaskPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-task-public-service","d814e5f","stacked-refactor","CLEAN no-checks","after-87","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"89","[refactor] WbsItemPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-wbs-public-service","697f209","stacked-refactor","CLEAN no-checks","after-88","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"90","[refactor] ResourcePublicService 공개 계약 분리","feature/resource-ai-document-api","codex/abstraction-boundary-resource-public-service","a11f4c4","stacked-refactor","CLEAN no-checks local-4 PASS","after-36","앞 PR #36 이후 리뷰","CI 미생성 예외. feature base workflow 제한"
"91","[docs] 선별적 인터페이스화 재검토 결과 정리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-review-summary","70aba00","docs-summary","CLEAN no-checks diffcheck PASS","after-29","팀원용 재검토 결과 문서","#92 기준선과 direct PR 재검증 결과 기록"
"92","[refactor] PublicService 공개 계약 인터페이스화","develop","codex/develop-public-service-contracts","4e0886a","develop-baseline","CI PASS review-required local-4 PASS","highest","가장 먼저 리뷰해서 develop 기준선으로 병합","#86~#89 code-only 보정을 develop 위에 재구성한 기준선 PR"
